Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
1,Thermostat Drone Heater,Consumer approach woman us those star.,Bradford-Yu,Kitchen Appliances,74,USD,139,8619793560985,Orchid,Medium,backorder,38
2,Ultra Speaker Iron Grill Advanced One,Point suggest easy money operation could white.,Douglas Group,Fitness Equipment,510,USD,351,3057216124300,MediumSeaGreen,Small,backorder,27
3,Watch Headphones Kettle,Reach husband education.,Landry-Austin,Beauty & Personal Care,254,USD,409,9825254410556,Lavender,XXL,pre_order,2
4,Portable Toaster Clock Monitor Silent,Always choose school poor table main.,"Odom, Norton and Foster",Makeup,69,USD,119,9490814777808,Pink,XL,in_stock,94
5,Pro Toaster Oven,Worry put discuss easy back too career.,"Fowler, Mendoza and Mcdaniel",Automotive,525,USD,727,4726650403799,LightCoral,XL,in_stock,95
6,Mini Speakerphone Mixer,Tell figure discussion chair red keep tough.,Burton-Gould,Team Sports,413,USD,566,9016454988741,OliveDrab,Medium,out_of_stock,44
7,Eco Cooler Printer Speaker Prime Prime,Cover close myself camera red evening.,"Soto, Raymond and Doyle",Health & Wellness,621,USD,245,4116090222997,Moccasin,Extra Large,limited_stock,1
8,Webcam Trimmer Projector,Fear fight until market court worry security trouble.,"Padilla, Dunn and Pruitt",Laptops & Computers,414,USD,559,4970509402222,HoneyDew,XL,limited_stock,27
9,Silent Headphones Stove Wireless Air Clean,Truth gun Democrat commercial.,Hughes and Sons,Home & Kitchen,858,USD,525,4349285091157,Chocolate,5x7 in,discontinued,16
10,Wireless Charger Air Premium Ultra,Public security home.,Mcbride-Wyatt,Health & Wellness,153,USD,550,1301175488525,MediumPurple,S,in_stock,4
11,Portable Fan Monitor Toaster Pro Smart Air,Number create north effect deep third hard.,"Wilkins, Horne and Farrell",Health & Wellness,738,USD,417,5524070542772,LightPink,12x18 in,limited_stock,44
12,Mini Iron Drone,Small meet inside career walk company.,"Miranda, Lucero and Blevins",Shoes & Footwear,367,USD,511,1842348818614,WhiteSmoke,S,in_stock,44
13,Smart Grill Tablet Fridge Sense,Eat describe discussion today.,Marshall Group,Grooming Tools,867,USD,679,5099801218115,SaddleBrown,XL,discontinued,37
14,Portable Grill Air Edge,Probably someone several moment if.,Tanner LLC,Clothing & Apparel,356,USD,904,1607017968263,DarkBlue,S,backorder,88
15,Premium Brush Scale Grill Plus Plus,Fire your stuff.,Mathews and Sons,Smartwatches,439,USD,987,6130539086788,MintCream,M,out_of_stock,71
16,Vacuum Router Toaster,Work subject ten firm more price.,Stephenson PLC,Team Sports,245,USD,412,3512687913957,LightSeaGreen,L,out_of_stock,6
17,Digital Clock Lock Eco Premium Portable,On ago smile stop.,Leonard LLC,Office Supplies,999,USD,14,1286011880117,SeaShell,XL,in_stock,83
18,Fast Watch Microphone Microphone,Behind home imagine enter think next whole cell.,"Montes, Hickman and Stout",Haircare,868,USD,416,9792206732649,Fuchsia,M,limited_stock,66
19,Clean Dock Mixer Router,Democratic cost use air data push.,Matthews Ltd,Toys & Games,411,USD,202,8630605129268,Ivory,Large,discontinued,51
20,Cooker Brush,Human office industry threat blue.,Contreras-Bonilla,Headphones & Earbuds,280,USD,124,4047379348117,Orchid,50x70 cm,limited_stock,39
21,Premium Cooler Premium Sense,Though knowledge hand.,Greene-Ayers,"Accessories (Bags, Hats, Belts)",448,USD,634,0339997175201,Magenta,M,in_stock,92
22,Digital Powerbank Rechargeable Wireless,Few from outside role.,Hanna Group,Health & Wellness,612,USD,413,5054430234554,SkyBlue,S,pre_order,38
23,Digital Drone Advanced,Send speech product member.,Quinn-Fields,Clothing & Apparel,517,USD,738,1139779817522,AliceBlue,Medium,discontinued,35
24,Automatic Thermostat Drone Heater,Learn raise possible easy treatment.,Livingston-Steele,Kitchen Appliances,182,USD,86,7050318636401,Lavender,XL,discontinued,75
25,Clean Webcam Powerbank Portable Compact,Investment ability bring recognize meeting husband guess.,"Pearson, Hubbard and Woodward",Toys & Games,935,USD,415,8582074240015,MediumVioletRed,S,discontinued,14
26,Headphones,To even operation down.,"Zavala, Pugh and Wiley",Team Sports,35,USD,527,8967724306103,Salmon,Large,backorder,85
27,Fan Iron Cooker,Body perhaps own south always common never.,Mcfarland-Buck,Health & Wellness,926,USD,848,5115223259113,SlateBlue,Large,limited_stock,16
28,Wireless Printer Fan Compact Plus,Network financial draw sport season push nation.,Kirby and Sons,Home & Kitchen,934,USD,479,4948634974969,SeaGreen,10x10 cm,out_of_stock,7
29,Ultra Projector Rechargeable,Care environment stay might rock guess.,"Owen, Caldwell and Salazar",Books & Stationery,282,USD,953,0482569332059,Khaki,S,pre_order,12
30,Blender Toaster Camera,Great might hair occur certainly.,Montoya Group,Books & Stationery,90,USD,680,4595536376539,Sienna,Large,in_stock,72
31,Treadmill,Role hotel test meeting probably reduce.,"Franklin, Liu and Evans",Toys & Games,537,USD,646,3194115967840,DarkViolet,L,in_stock,93
32,Portable Webcam Powerbank Rechargeable Advanced,Enter decade indicate.,Harrison Ltd,Fitness Equipment,177,USD,710,3364245845640,Khaki,8x10 in,in_stock,24
33,Fan Phone,Term collection whatever the.,Kennedy-Weiss,Camping & Hiking,335,USD,921,0730639145543,SkyBlue,50x70 cm,pre_order,53
34,Pro Stove Eco Smart,Consumer leave media wrong nor word.,"Joyce, Mcdonald and Maldonado",Cycling,663,USD,695,3784103867582,Crimson,XXL,discontinued,18
35,Charger,Phone mention really reach.,"Mills, Mendez and Waller",Fitness Equipment,596,USD,52,8414274814911,Green,L,discontinued,86
36,Fan Phone,Smile market would trouble center.,Maldonado PLC,Laptops & Computers,385,USD,219,9543170012974,Orchid,10x10 cm,pre_order,36
37,Fan Powerbank,Your tree never bit each this rock.,"Payne, Joseph and Ponce",Kids' Clothing,825,USD,93,0877671751360,DarkSlateGray,8x10 in,backorder,38
38,Premium Router Lamp,Daughter interesting ball way.,Roman and Sons,Home Decor,245,USD,243,3030338950781,SlateBlue,100x200 mm,in_stock,5
